stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\thall\Desktop\JogoAllegro5\Birigui\mini_game_surf\x64\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.41098] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41114] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41134] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41345] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41372] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.41386] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41469] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.41579] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41616] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41708] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41762] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41830] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41913] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41999] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.42069] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.42119] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.42349] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
